,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
MTSS11,0.003267675,0.273301706,0.685,0.425,1,IRS/cuticle,MTSS1
AKAP92,0.003303752,0.301976273,0.921,0.744,1,IRS/cuticle,AKAP9
FABP42,0.004761531,1.11634699,0.36,0.172,1,IRS/cuticle,FABP4
GPR871,0.005730506,0.280440969,0.764,0.475,1,IRS/cuticle,GPR87
MSMO11,0.007495473,0.253622385,0.629,0.412,1,IRS/cuticle,MSMO1
CCNL12,1.79E-36,1.075493663,1,0.886,3.58E-33,infundibulum,CCNL1
CYR612,4.01E-26,1.479765065,0.971,0.53,8.01E-23,infundibulum,CYR61
HLA-B4,7.86E-23,0.509165974,1,0.887,1.57E-19,infundibulum,HLA-B
PNRC13,3.25E-20,0.626644616,0.986,0.906,6.49E-17,infundibulum,PNRC1
SOCS34,5.51E-19,1.065950354,0.942,0.725,1.10E-15,infundibulum,SOCS3
NFKBIA2,1.24E-18,0.679243424,1,0.95,2.48E-15,infundibulum,NFKBIA
KRT154,1.11E-17,0.789515893,0.942,0.798,2.21E-14,infundibulum,KRT15
SAT14,4.77E-17,0.63965968,0.899,0.585,9.55E-14,infundibulum,SAT1
KLF102,4.93E-17,0.860277909,0.942,0.745,9.86E-14,infundibulum,KLF10
MT-ND14,2.14E-15,0.368254129,1,0.945,4.29E-12,infundibulum,MT-ND1
PLK22,4.96E-15,0.759383069,0.884,0.696,9.92E-12,infundibulum,PLK2
CITED23,1.39E-14,0.816339467,0.841,0.568,2.78E-11,infundibulum,CITED2
ATF34,4.08E-14,0.397264923,0.986,0.871,8.15E-11,infundibulum,ATF3
EPCAM,7.84E-13,1.264277533,0.638,0.359,1.57E-09,infundibulum,EPCAM
IRF13,2.81E-12,0.507445284,0.913,0.728,5.62E-09,infundibulum,IRF1
GADD45G2,3.19E-12,0.821649902,0.797,0.56,6.38E-09,infundibulum,GADD45G
GADD45B4,6.36E-12,0.592269691,0.957,0.9,1.27E-08,infundibulum,GADD45B
ZC3H12A2,6.57E-12,0.789665735,0.826,0.617,1.31E-08,infundibulum,ZC3H12A
ABI3BP1,7.19E-12,0.868220745,0.638,0.304,1.44E-08,infundibulum,ABI3BP
PMAIP13,9.35E-12,0.662474364,0.899,0.729,1.87E-08,infundibulum,PMAIP1
NR4A12,1.84E-11,0.698121944,0.826,0.612,3.67E-08,infundibulum,NR4A1
TSC22D14,3.01E-11,0.756389151,0.884,0.729,6.02E-08,infundibulum,TSC22D1
IER35,4.98E-11,0.620808581,0.957,0.842,9.97E-08,infundibulum,IER3
APP4,5.59E-11,0.393403873,0.899,0.754,1.12E-07,infundibulum,APP
ANXA15,2.47E-10,0.384731195,0.942,0.823,4.94E-07,infundibulum,ANXA1
HSPA22,2.53E-10,0.52085572,0.855,0.659,5.06E-07,infundibulum,HSPA2
POSTN,2.54E-10,1.194566092,0.565,0.211,5.08E-07,infundibulum,POSTN
CSRNP12,3.53E-10,0.620525024,0.797,0.651,7.05E-07,infundibulum,CSRNP1
HLA-E3,6.58E-10,0.299741154,0.957,0.871,1.32E-06,infundibulum,HLA-E
LBH1,8.45E-10,0.647582362,0.667,0.468,1.69E-06,infundibulum,LBH
MAFB2,8.46E-10,0.773891629,0.841,0.664,1.69E-06,infundibulum,MAFB
TUBB4B2,9.89E-10,0.473663822,0.971,0.897,1.98E-06,infundibulum,TUBB4B
ADRB21,1.34E-09,1.080578827,0.623,0.425,2.68E-06,infundibulum,ADRB2
BTG22,2.34E-09,0.522506346,0.899,0.796,4.68E-06,infundibulum,BTG2
SGK12,4.50E-09,0.518491273,0.841,0.719,9.00E-06,infundibulum,SGK1
RAB342,5.13E-09,0.542535386,0.768,0.62,1.03E-05,infundibulum,RAB34
MARCKSL15,7.00E-09,0.455741068,0.87,0.69,1.40E-05,infundibulum,MARCKSL1
KLF44,1.17E-08,0.422020251,0.971,0.86,2.33E-05,infundibulum,KLF4
ID14,1.22E-08,0.643136116,0.87,0.745,2.44E-05,infundibulum,ID1
CXADR2,2.00E-08,0.469798439,0.841,0.72,4.00E-05,infundibulum,CXADR
HERPUD12,2.07E-08,0.473234926,0.884,0.774,4.14E-05,infundibulum,HERPUD1
BRD21,2.16E-08,0.475490177,0.884,0.805,4.32E-05,infundibulum,BRD2
NFKBIZ1,3.10E-08,0.428870074,0.841,0.702,6.19E-05,infundibulum,NFKBIZ
GJB63,3.67E-08,0.415098657,0.855,0.682,7.33E-05,infundibulum,GJB6
KRT173,4.34E-08,0.478352826,0.594,0.308,8.68E-05,infundibulum,KRT17
XBP11,4.69E-08,0.414307432,0.754,0.608,9.37E-05,infundibulum,XBP1
ETS23,5.42E-08,0.586149835,0.623,0.487,0.00010849,infundibulum,ETS2
ZNF3311,1.02E-07,0.572046933,0.58,0.439,0.00020407,infundibulum,ZNF331
GATA32,1.35E-07,0.470489486,0.768,0.643,0.000269936,infundibulum,GATA3
MCL12,1.65E-07,0.308095059,0.87,0.775,0.000329088,infundibulum,MCL1
CCL24,2.11E-07,1.254857984,0.565,0.446,0.000421101,infundibulum,CCL2
GSN5,2.44E-07,0.34276674,0.971,0.843,0.000488725,infundibulum,GSN
IP6K22,2.81E-07,0.487816952,0.768,0.676,0.00056244,infundibulum,IP6K2
HOPX4,6.03E-07,0.407900886,0.768,0.59,0.001205212,infundibulum,HOPX
AQP34,6.94E-07,0.562162849,0.797,0.669,0.001388385,infundibulum,AQP3
ZFAND51,1.10E-06,0.35169951,0.768,0.682,0.002202466,infundibulum,ZFAND5
STOM1,1.17E-06,0.506341148,0.623,0.545,0.002348647,infundibulum,STOM
CLK11,1.61E-06,0.303491995,0.797,0.704,0.003227045,infundibulum,CLK1
NR4A23,1.86E-06,0.483347171,0.565,0.461,0.003727556,infundibulum,NR4A2
KPNA21,1.89E-06,0.517316746,0.638,0.554,0.003779061,infundibulum,KPNA2
GLUL2,2.90E-06,0.366795224,0.884,0.771,0.005792439,infundibulum,GLUL
WSB1,4.06E-06,0.380733406,0.812,0.733,0.008127454,infundibulum,WSB1
FOSB2,4.21E-06,0.276739274,0.986,0.902,0.008422639,infundibulum,FOSB
RASD12,6.72E-06,0.344885341,0.696,0.588,0.013439609,infundibulum,RASD1
MT2A4,8.97E-06,0.619086087,0.71,0.644,0.017943026,infundibulum,MT2A
F2RL1,9.39E-06,0.455236829,0.478,0.429,0.018785451,infundibulum,F2RL1
CHMP1B1,1.74E-05,0.309382742,0.783,0.707,0.034740162,infundibulum,CHMP1B
CDKN1A2,1.92E-05,0.291283084,0.812,0.729,0.038334472,infundibulum,CDKN1A
DNAJB93,2.14E-05,0.344941627,0.565,0.516,0.042761225,infundibulum,DNAJB9
HSPA53,2.49E-05,0.258590777,0.928,0.853,0.049877733,infundibulum,HSPA5
MAFF3,2.89E-05,0.409116267,0.667,0.63,0.057741506,infundibulum,MAFF
OVOL13,3.04E-05,0.326720003,0.667,0.573,0.060771463,infundibulum,OVOL1
SOX44,3.54E-05,0.46913957,0.667,0.582,0.070805905,infundibulum,SOX4
ITGB13,3.76E-05,0.351578289,0.681,0.632,0.075111749,infundibulum,ITGB1
CDCA7L1,4.09E-05,0.404984814,0.464,0.436,0.081866805,infundibulum,CDCA7L
MT1X4,4.40E-05,0.679741575,0.768,0.722,0.087985304,infundibulum,MT1X
YTHDF2,7.71E-05,0.366842884,0.681,0.664,0.154155538,infundibulum,YTHDF2
MYC2,7.89E-05,0.465248685,0.783,0.729,0.157787131,infundibulum,MYC
SYNE23,9.51E-05,0.355373529,0.725,0.711,0.190191659,infundibulum,SYNE2
NCOA74,0.000100945,0.458508542,0.551,0.529,0.201890839,infundibulum,NCOA7
DUSP61,0.000137034,0.492619906,0.42,0.432,0.274067925,infundibulum,DUSP6
REL1,0.000143407,0.285393614,0.667,0.633,0.286813147,infundibulum,REL
NEDD4L,0.000149063,0.300772544,0.304,0.323,0.298126157,infundibulum,NEDD4L
AVPI13,0.000183868,0.399600824,0.565,0.547,0.367736356,infundibulum,AVPI1
PHF14,0.000195093,0.324674679,0.623,0.613,0.390185282,infundibulum,PHF14
PPP1R12A,0.000256321,0.320868922,0.623,0.617,0.512641983,infundibulum,PPP1R12A
MAP3K81,0.000257894,0.425724007,0.449,0.476,0.515788495,infundibulum,MAP3K8
CTSV1,0.000273257,0.376794975,0.333,0.323,0.546513186,infundibulum,CTSV
TNFRSF193,0.000416324,0.293884434,0.406,0.384,0.832648968,infundibulum,TNFRSF19
SFPQ2,0.000534645,0.275571782,0.783,0.778,1,infundibulum,SFPQ
RAB5A,0.00054799,0.299318822,0.522,0.527,1,infundibulum,RAB5A
PHF20L11,0.000605737,0.279979848,0.464,0.476,1,infundibulum,PHF20L1
SDC43,0.000740868,0.316533243,0.71,0.682,1,infundibulum,SDC4
H1F01,0.000773268,0.410334189,0.551,0.541,1,infundibulum,H1F0
EIF2AK2,0.000779646,0.267173293,0.391,0.412,1,infundibulum,EIF2AK2
GPBP11,0.000889069,0.252097407,0.638,0.656,1,infundibulum,GPBP1
PUM1,0.00094322,0.292258109,0.42,0.48,1,infundibulum,PUM1
CKS22,0.000956868,0.296862351,0.522,0.54,1,infundibulum,CKS2
RAMP12,0.001033618,0.260910348,0.319,0.353,1,infundibulum,RAMP1
NRP23,0.001159859,0.292592032,0.319,0.315,1,infundibulum,NRP2
BHLHE402,0.001354875,0.293486115,0.449,0.477,1,infundibulum,BHLHE40
CTGF3,0.002019283,0.500960198,0.42,0.413,1,infundibulum,CTGF
CBR31,0.002566994,0.35540559,0.464,0.515,1,infundibulum,CBR3
DUSP22,0.002604579,0.445804312,0.507,0.545,1,infundibulum,DUSP2
MLF11,0.00339166,0.298629782,0.377,0.451,1,infundibulum,MLF1
ALCAM,0.003571664,0.302018878,0.246,0.296,1,infundibulum,ALCAM
CXCL21,0.003919978,0.383592462,0.348,0.399,1,infundibulum,CXCL2
MDK2,0.004048926,0.336093519,0.406,0.447,1,infundibulum,MDK
BAZ2B1,0.004055345,0.283918875,0.42,0.503,1,infundibulum,BAZ2B
CTNNAL13,0.004300906,0.267458778,0.377,0.409,1,infundibulum,CTNNAL1
ODC14,0.005392005,0.411465714,0.377,0.472,1,infundibulum,ODC1
GGNBP2,0.006676051,0.267466894,0.594,0.667,1,infundibulum,GGNBP2
PTP4A1,0.007314647,0.299295039,0.522,0.602,1,infundibulum,PTP4A1
BOD1,0.007357712,0.278322298,0.522,0.577,1,infundibulum,BOD1
MYLK1,0.009571382,0.267733742,0.232,0.269,1,infundibulum,MYLK
S100A23,3.39E-31,1.848563754,0.985,0.913,6.78E-28,ORS B,S100A2
FABP57,3.74E-30,1.572918105,0.985,0.842,7.48E-27,ORS B,FABP5
KRT145,2.21E-27,1.204452323,1,0.956,4.41E-24,ORS B,KRT14
KRT162,1.75E-24,2.556689495,0.897,0.622,3.50E-21,ORS B,KRT16
KRT53,5.08E-21,1.012458453,0.985,0.916,1.02E-17,ORS B,KRT5
TMSB4X5,6.08E-21,0.982793601,1,0.978,1.22E-17,ORS B,TMSB4X
KRT6B3,5.31E-19,2.327351696,0.971,0.62,1.06E-15,ORS B,KRT6B
CALML35,1.24E-18,1.186082931,0.956,0.819,2.48E-15,ORS B,CALML3
APOE4,1.65E-13,0.945489158,0.956,0.892,3.29E-10,ORS B,APOE
GJB64,9.85E-13,1.905300723,0.897,0.681,1.97E-09,ORS B,GJB6
CST63,1.24E-12,1.632194892,0.882,0.511,2.48E-09,ORS B,CST6
ANXA22,1.91E-12,1.193902692,0.985,0.951,3.82E-09,ORS B,ANXA2
GJB24,2.27E-11,1.572152983,0.897,0.648,4.53E-08,ORS B,GJB2
LGALS14,6.63E-10,1.439514378,0.897,0.812,1.33E-06,ORS B,LGALS1
KRT6C3,1.34E-09,2.125488324,0.765,0.384,2.67E-06,ORS B,KRT6C
HSPB13,6.36E-09,0.882029519,0.956,0.975,1.27E-05,ORS B,HSPB1
S100A146,1.12E-08,0.944056746,0.971,0.894,2.25E-05,ORS B,S100A14
S100A166,1.37E-08,1.14407145,0.882,0.858,2.75E-05,ORS B,S100A16
KRT6A3,2.80E-08,1.821713582,0.691,0.583,5.61E-05,ORS B,KRT6A
TPM15,4.66E-08,1.395755797,0.824,0.629,9.32E-05,ORS B,TPM1
IVL3,1.87E-06,1.029523565,0.676,0.299,0.003749683,ORS B,IVL
TMSB105,2.05E-06,0.626873083,0.926,0.962,0.004107998,ORS B,TMSB10
TM4SF13,2.22E-06,1.107043312,0.809,0.637,0.004444674,ORS B,TM4SF1
LGALS7B5,2.25E-06,0.945660519,0.824,0.793,0.00450726,ORS B,LGALS7B
LGALS75,3.90E-06,1.093445172,0.838,0.733,0.007805319,ORS B,LGALS7
GSTP16,1.14E-05,0.753669567,0.897,0.942,0.022868373,ORS B,GSTP1
YWHAQ2,1.17E-05,1.197182879,0.897,0.884,0.023356315,ORS B,YWHAQ
S100A115,1.26E-05,0.783466962,0.838,0.901,0.025208354,ORS B,S100A11
SDC13,1.71E-05,1.085510985,0.779,0.809,0.034127262,ORS B,SDC1
SBSN3,2.56E-05,0.942390906,0.721,0.462,0.051218263,ORS B,SBSN
PARM12,0.000327418,0.746158143,0.603,0.323,0.654835918,ORS B,PARM1
TUBA4A7,0.000331822,0.939497809,0.647,0.658,0.663644826,ORS B,TUBA4A
NPC23,0.000432894,1.29160538,0.779,0.865,0.865787981,ORS B,NPC2
KLK73,0.000688469,0.69197838,0.618,0.246,1,ORS B,KLK7
CTSV2,0.000695326,1.154727143,0.632,0.319,1,ORS B,CTSV
KCNK75,0.000783214,0.800181697,0.676,0.491,1,ORS B,KCNK7
KRTAP19-5,0.000847659,0.261354101,0.544,0.144,1,ORS B,KRTAP19-5
BTC,0.001124311,0.678044315,0.588,0.234,1,ORS B,BTC
ALDH3B24,0.001269454,0.51695639,0.618,0.438,1,ORS B,ALDH3B2
CLIC34,0.00216005,0.681195771,0.603,0.339,1,ORS B,CLIC3
APOC11,0.002374732,0.900936849,0.412,0.471,1,ORS B,APOC1
BBOX12,0.002641193,0.691387597,0.603,0.359,1,ORS B,BBOX1
GPX31,0.002672143,0.311439896,0.574,0.195,1,ORS B,GPX3
CARD183,0.002683582,0.7533634,0.662,0.486,1,ORS B,CARD18
CA24,0.003054846,0.565261549,0.618,0.435,1,ORS B,CA2
GPN1,0.004651402,0.44836446,0.588,0.42,1,ORS B,GPN1
PLA2G163,0.005115652,0.486997608,0.574,0.261,1,ORS B,PLA2G16
MSMO12,0.007510708,0.4923225,0.618,0.413,1,ORS B,MSMO1
PDZD11,0.008332083,0.759791295,0.574,0.469,1,ORS B,PDZD11
PART11,0.008922633,0.264232091,0.559,0.237,1,ORS B,PART1
SFN6,0.00935805,0.403582019,0.838,0.839,1,ORS B,SFN
CD742,1.47E-80,4.643063423,1,0.411,2.94E-77,langerhans,CD74
HLA-DRA1,5.66E-73,4.918382925,1,0.308,1.13E-69,langerhans,HLA-DRA
HLA-DPB11,4.17E-63,4.449610763,1,0.275,8.33E-60,langerhans,HLA-DPB1
HLA-DRB12,1.63E-52,3.847274374,1,0.173,3.27E-49,langerhans,HLA-DRB1
HLA-DPA11,4.09E-51,4.249775407,1,0.288,8.17E-48,langerhans,HLA-DPA1
TMSB4X6,4.00E-48,1.242885417,1,0.978,7.99E-45,langerhans,TMSB4X
HLA-DRB51,4.12E-40,3.264336136,0.984,0.136,8.24E-37,langerhans,HLA-DRB5
CST32,6.06E-40,3.214222574,1,0.735,1.21E-36,langerhans,CST3
RGS11,1.25E-39,3.561298035,1,0.234,2.51E-36,langerhans,RGS1
HLA-DMA1,1.23E-37,2.640213404,0.984,0.28,2.45E-34,langerhans,HLA-DMA
RGS21,5.98E-34,2.707847144,1,0.458,1.20E-30,langerhans,RGS2
VIM3,7.80E-33,1.743774872,1,0.548,1.56E-29,langerhans,VIM
ARHGDIB3,2.09E-32,1.721132459,0.984,0.339,4.18E-29,langerhans,ARHGDIB
RGS102,2.21E-32,1.965338609,1,0.417,4.42E-29,langerhans,RGS10
FTL5,1.07E-31,1.732445645,1,0.927,2.14E-28,langerhans,FTL
B2M5,2.50E-30,0.909557623,1,0.964,5.00E-27,langerhans,B2M
CD831,5.15E-30,2.732601953,0.984,0.336,1.03E-26,langerhans,CD83
CYBA3,7.17E-30,1.591323424,0.984,0.709,1.43E-26,langerhans,CYBA
S100A41,4.11E-28,2.324353874,0.984,0.54,8.23E-25,langerhans,S100A4
CTSH3,3.56E-27,1.649316991,0.937,0.342,7.13E-24,langerhans,CTSH
SAT15,9.51E-25,2.478594159,0.984,0.585,1.90E-21,langerhans,SAT1
SRGN2,1.62E-24,2.668312521,0.937,0.248,3.23E-21,langerhans,SRGN
ID24,2.31E-23,1.635045397,1,0.706,4.62E-20,langerhans,ID2
HLA-B5,8.50E-23,0.922088641,1,0.887,1.70E-19,langerhans,HLA-B
FCGRT3,4.17E-22,1.151651493,0.952,0.631,8.35E-19,langerhans,FCGRT
REL2,2.74E-21,1.256373373,0.937,0.63,5.49E-18,langerhans,REL
PPT12,3.53E-21,1.138757636,0.968,0.622,7.05E-18,langerhans,PPT1
SGK13,8.88E-21,1.493466562,1,0.717,1.78E-17,langerhans,SGK1
EMP34,1.18E-20,1.194603522,0.968,0.586,2.37E-17,langerhans,EMP3
DUSP23,2.41E-19,1.510425914,0.921,0.54,4.82E-16,langerhans,DUSP2
RGCC2,2.28E-18,1.961393456,0.937,0.37,4.55E-15,langerhans,RGCC
GLRX2,3.36E-18,1.337667851,0.873,0.247,6.72E-15,langerhans,GLRX
FTH14,3.81E-18,1.252286143,1,0.977,7.62E-15,langerhans,FTH1
LITAF2,7.25E-18,1.460711599,0.952,0.67,1.45E-14,langerhans,LITAF
TMSB106,7.82E-18,1.399655049,1,0.961,1.56E-14,langerhans,TMSB10
CSRNP13,1.55E-17,0.847987095,0.937,0.649,3.11E-14,langerhans,CSRNP1
MCL13,5.33E-17,0.992036837,1,0.773,1.07E-13,langerhans,MCL1
RASGEF1B1,5.97E-17,0.967644467,0.873,0.387,1.19E-13,langerhans,RASGEF1B
C15orf481,1.66E-16,2.32514075,0.857,0.249,3.32E-13,langerhans,C15orf48
ZNF3312,3.87E-16,1.362816218,0.857,0.436,7.74E-13,langerhans,ZNF331
GSN6,5.22E-16,0.650286993,0.984,0.843,1.04E-12,langerhans,GSN
GMFG3,7.10E-16,1.026567203,0.825,0.186,1.42E-12,langerhans,GMFG
THAP21,2.10E-15,0.672632879,0.794,0.375,4.21E-12,langerhans,THAP2
NR4A24,2.80E-15,1.188915654,0.857,0.458,5.59E-12,langerhans,NR4A2
CKLF1,6.09E-15,1.29553846,0.841,0.366,1.22E-11,langerhans,CKLF
CAP12,8.21E-15,0.766989683,0.984,0.698,1.64E-11,langerhans,CAP1
INSIG12,9.36E-15,1.220260326,0.841,0.385,1.87E-11,langerhans,INSIG1
TIMP15,1.31E-14,1.177789459,0.857,0.46,2.62E-11,langerhans,TIMP1
LGALS15,2.25E-14,0.417558793,1,0.811,4.51E-11,langerhans,LGALS1
PDXK1,2.48E-14,0.674314547,0.841,0.445,4.96E-11,langerhans,PDXK
STX112,2.78E-14,0.938688637,0.841,0.328,5.56E-11,langerhans,STX11
MAP3K82,5.68E-14,0.912838057,0.81,0.472,1.14E-10,langerhans,MAP3K8
RAB322,9.51E-14,0.623962874,0.825,0.423,1.90E-10,langerhans,RAB32
KLF63,1.92E-13,0.957885628,0.968,0.824,3.83E-10,langerhans,KLF6
CD521,2.23E-12,1.259949853,0.73,0.227,4.45E-09,langerhans,CD52
PHACTR11,2.32E-12,1.299067691,0.794,0.24,4.64E-09,langerhans,PHACTR1
RNASET23,3.82E-12,1.355225874,0.873,0.489,7.64E-09,langerhans,RNASET2
BASP12,5.45E-12,0.929867782,0.825,0.419,1.09E-08,langerhans,BASP1
AAED12,1.58E-11,0.638353147,0.714,0.322,3.15E-08,langerhans,AAED1
H2AFV1,1.81E-11,0.503058842,0.905,0.617,3.62E-08,langerhans,H2AFV
JMJD1C1,4.89E-11,0.967280981,0.857,0.583,9.79E-08,langerhans,JMJD1C
TUBA1B2,5.33E-11,0.80679545,1,0.919,1.07E-07,langerhans,TUBA1B
BHLHE403,5.84E-11,0.787461932,0.841,0.473,1.17E-07,langerhans,BHLHE40
CHMP1B2,7.83E-11,1.113916802,0.905,0.706,1.57E-07,langerhans,CHMP1B
TNFAIP32,1.84E-10,0.879866571,0.857,0.522,3.68E-07,langerhans,TNFAIP3
TNFAIP81,1.96E-10,0.932523413,0.794,0.464,3.91E-07,langerhans,TNFAIP8
CCL3,2.00E-10,2.648384367,0.587,0.117,4.01E-07,langerhans,CCL3
GNAS2,2.24E-10,0.463821425,0.921,0.7,4.47E-07,langerhans,GNAS
CHMP4B3,2.78E-10,0.378394271,0.921,0.652,5.56E-07,langerhans,CHMP4B
BIRC32,2.89E-10,0.560569403,0.698,0.314,5.79E-07,langerhans,BIRC3
STK17B1,3.10E-10,1.023525619,0.698,0.254,6.20E-07,langerhans,STK17B
NEAT16,3.12E-10,0.598783402,0.921,0.762,6.24E-07,langerhans,NEAT1
SH3BGRL36,3.28E-10,0.570188235,0.984,0.874,6.56E-07,langerhans,SH3BGRL3
RAC12,3.31E-10,0.812308857,0.984,0.842,6.62E-07,langerhans,RAC1
AP1S23,3.58E-10,0.622664017,0.825,0.428,7.15E-07,langerhans,AP1S2
PDE4B1,4.31E-10,0.751723585,0.746,0.254,8.62E-07,langerhans,PDE4B
SDCBP3,5.12E-10,0.665925556,0.873,0.58,1.02E-06,langerhans,SDCBP
NDRG23,8.28E-10,0.744449686,0.841,0.63,1.66E-06,langerhans,NDRG2
PKIB1,1.65E-09,1.082012155,0.651,0.229,3.31E-06,langerhans,PKIB
PNRC14,2.49E-09,0.657307359,0.984,0.906,4.97E-06,langerhans,PNRC1
LY961,2.68E-09,0.502988251,0.587,0.254,5.36E-06,langerhans,LY96
TSC22D33,3.30E-09,0.504100576,0.746,0.383,6.61E-06,langerhans,TSC22D3
CREB53,4.14E-09,0.413565279,0.81,0.455,8.27E-06,langerhans,CREB5
MAFF4,6.15E-09,0.662779527,0.857,0.628,1.23E-05,langerhans,MAFF
UCP2,7.03E-09,0.547100604,0.635,0.22,1.41E-05,langerhans,UCP2
CD551,7.33E-09,0.435631404,0.81,0.506,1.47E-05,langerhans,CD55
CCDC88A,7.46E-09,0.686586112,0.698,0.325,1.49E-05,langerhans,CCDC88A
GDI2,8.22E-09,0.558792957,0.905,0.753,1.64E-05,langerhans,GDI2
CLEC2B4,1.14E-08,0.926811608,0.714,0.318,2.28E-05,langerhans,CLEC2B
PSMB92,1.39E-08,0.532749221,0.698,0.4,2.78E-05,langerhans,PSMB9
PPIF1,2.23E-08,0.582997777,0.73,0.499,4.46E-05,langerhans,PPIF
PLBD12,3.35E-08,0.541641845,0.698,0.343,6.71E-05,langerhans,PLBD1
CD691,4.57E-08,0.431176623,0.635,0.194,9.13E-05,langerhans,CD69
S100A64,7.68E-08,0.277916281,1,0.945,0.000153624,langerhans,S100A6
UBL31,1.01E-07,0.359480282,0.698,0.422,0.000202518,langerhans,UBL3
GADD45A2,1.76E-07,0.775951602,0.762,0.567,0.000352957,langerhans,GADD45A
XBP12,2.15E-07,0.362279049,0.825,0.607,0.000430786,langerhans,XBP1
ALDH26,3.31E-07,0.300580133,0.921,0.676,0.000662128,langerhans,ALDH2
RAB31,4.71E-07,0.719997446,0.603,0.243,0.000941207,langerhans,RAB31
OGFRL1,4.95E-07,0.334805681,0.683,0.386,0.000990447,langerhans,OGFRL1
EFHD21,7.01E-07,0.387561966,0.667,0.47,0.001401241,langerhans,EFHD2
CDC42EP33,8.94E-07,0.264100397,0.81,0.479,0.001788476,langerhans,CDC42EP3
HNMT1,1.06E-06,0.315004354,0.619,0.326,0.00211467,langerhans,HNMT
RHEB3,1.11E-06,0.321681187,0.889,0.715,0.002213646,langerhans,RHEB
PDE4DIP1,1.16E-06,0.388643221,0.619,0.257,0.002325023,langerhans,PDE4DIP
CMTM61,1.18E-06,0.429827756,0.81,0.585,0.002367779,langerhans,CMTM6
PRR131,1.19E-06,0.557132752,0.762,0.564,0.002379423,langerhans,PRR13
CKS23,1.30E-06,0.611374974,0.762,0.537,0.002592498,langerhans,CKS2
IDH23,1.30E-06,0.299410869,0.762,0.545,0.002597981,langerhans,IDH2
FGL22,1.35E-06,0.622945443,0.746,0.405,0.002707361,langerhans,FGL2
PAK1,1.39E-06,0.364943282,0.571,0.33,0.002785488,langerhans,PAK1
SPCS3,1.60E-06,0.338313323,0.683,0.402,0.003208845,langerhans,SPCS3
NAP1L13,1.74E-06,0.448083469,0.984,0.902,0.003486979,langerhans,NAP1L1
IL181,2.52E-06,0.806047614,0.667,0.409,0.005049439,langerhans,IL18
IFITM23,2.66E-06,0.307559575,0.635,0.333,0.00531956,langerhans,IFITM2
PPP1R21,2.68E-06,0.35284268,0.762,0.571,0.005353323,langerhans,PPP1R2
LACTB,3.20E-06,0.321059457,0.635,0.406,0.006407498,langerhans,LACTB
NFKBIA3,3.27E-06,0.733425862,0.984,0.95,0.006539645,langerhans,NFKBIA
NPC24,3.30E-06,0.724839529,0.937,0.863,0.006591592,langerhans,NPC2
TYMP4,3.98E-06,0.586281807,0.794,0.537,0.007958909,langerhans,TYMP
HLA-E4,4.95E-06,0.730847305,0.952,0.871,0.009893992,langerhans,HLA-E
CDC42SE11,5.41E-06,0.264971781,0.746,0.487,0.010824222,langerhans,CDC42SE1
M6PR1,5.68E-06,0.288039147,0.73,0.509,0.011353773,langerhans,M6PR
RAB11FIP1,5.69E-06,0.586854351,0.603,0.303,0.011384898,langerhans,RAB11FIP1
CDKN1A3,6.27E-06,0.373132095,0.873,0.729,0.012537843,langerhans,CDKN1A
ZBTB43,7.42E-06,0.316182664,0.698,0.452,0.014843946,langerhans,ZBTB43
BIN22,7.54E-06,0.29186858,0.54,0.172,0.015079377,langerhans,BIN2
RNF1451,7.57E-06,0.347597378,0.683,0.417,0.015141445,langerhans,RNF145
ALCAM1,9.14E-06,0.459730184,0.603,0.291,0.018288472,langerhans,ALCAM
HERPUD13,9.15E-06,0.724879977,0.873,0.774,0.018290374,langerhans,HERPUD1
C4orf482,9.22E-06,0.286422865,0.524,0.21,0.018443449,langerhans,C4orf48
GPX32,9.91E-06,0.400035876,0.476,0.196,0.019817871,langerhans,GPX3
SNAP231,1.18E-05,0.264946652,0.651,0.444,0.023627711,langerhans,SNAP23
ANXA16,1.29E-05,0.436487028,0.937,0.823,0.025733179,langerhans,ANXA1
CREM1,1.47E-05,0.809767765,0.667,0.422,0.029344456,langerhans,CREM
PLSCR11,1.91E-05,0.497521757,0.571,0.405,0.03824335,langerhans,PLSCR1
DNAJB94,2.13E-05,0.289728977,0.746,0.514,0.042535685,langerhans,DNAJB9
ZFAND52,2.28E-05,0.424600057,0.794,0.682,0.045536667,langerhans,ZFAND5
SLC38A11,2.42E-05,0.384460238,0.556,0.396,0.048429087,langerhans,SLC38A1
SLC25A33,2.52E-05,0.335610679,0.651,0.428,0.050429625,langerhans,SLC25A33
MARCKS1,2.59E-05,0.40653796,0.714,0.591,0.051815206,langerhans,MARCKS
ATP1B12,2.78E-05,0.552972738,0.778,0.621,0.055516084,langerhans,ATP1B1
PSAP1,3.62E-05,0.658223963,0.952,0.874,0.072429769,langerhans,PSAP
CCNH,3.63E-05,0.284689395,0.619,0.425,0.072625285,langerhans,CCNH
FAM49A2,3.85E-05,0.313745474,0.524,0.239,0.07702023,langerhans,FAM49A
DUSP101,4.78E-05,0.543291395,0.556,0.401,0.095578579,langerhans,DUSP10
RNF5,6.99E-05,0.256695053,0.762,0.571,0.139844769,langerhans,RNF5
CYLD1,7.69E-05,0.2623957,0.635,0.435,0.15371063,langerhans,CYLD
