Cluster,Cell_Type,Overlap_Count,Jaccard_Index,Fisher_Pval,Overlap_Genes
11,isthmus,0,0.0,1.0,None
11,langerhans,0,0.0,1.0,None
11,lower bulge,0,0.0,1.0,None
11,matrix/cortex/medulla,8,0.15384615384615385,8.103269143073183e-16,"MSX2, KRT85, DLX3, KRT35, HOXC13, BAMBI, MT4, ASS1"
11,melanocytes,0,0.0,1.0,None
11,mesenchymal,0,0.0,1.0,None
11,sebaceous/apocrine,0,0.0,1.0,None
6,IFE basal 1,1,0.01694915254237288,0.06149116554034821,EHF
6,IFE basal 2,6,0.1111111111111111,2.985986703944949e-11,"CHCHD10, CYP27A1, CHI3L2, TPM1, PDZK1IP1, PTN"
6,IFE granular,3,0.05263157894736842,3.318075750370849e-05,"KRT6A, SBSN, KRT6B"
6,IFE mitotic,2,0.034482758620689655,0.001806709727152707,"SLC25A5, TPI1"
6,IFE spinous 1,3,0.05263157894736842,3.318075750370849e-05,"FGFBP1, DEFB1, TMEM45A"
6,IFE spinous 2,10,0.2,9.595079798727975e-21,"CHCHD10, KRT6A, SLC25A5, TPM1, PDZK1IP1, CSTB, DEFB1, TPI1, PTN, TMEM45A"
6,IFE spinous 3,5,0.09090909090909091,4.061619164377809e-09,"FGFBP1, SBSN, CSTB, DEFB1, TMEM45A"
6,IRS H/H,0,0.0,1.0,None
6,IRS/cuticle,0,0.0,1.0,None
6,ORS B,3,0.05357142857142857,2.9905266549541813e-05,"KRT6A, KRT6B, TPM1"
6,ORS CL,1,0.01694915254237288,0.06149116554034821,TMEM45A
6,ORS SB,1,0.01694915254237288,0.06149116554034821,KRT6B
6,bulge,0,0.0,1.0,None
6,endothelial,0,0.0,1.0,None
6,immune,0,0.0,1.0,None
6,infundibulum,0,0.0,1.0,None
6,isthmus,1,0.01694915254237288,0.06149116554034821,TPM1
6,langerhans,0,0.0,1.0,None
6,lower bulge,0,0.0,1.0,None
6,matrix/cortex/medulla,0,0.0,1.0,None
6,melanocytes,0,0.0,1.0,None
6,mesenchymal,0,0.0,1.0,None
6,sebaceous/apocrine,0,0.0,1.0,None
5,IFE basal 1,0,0.0,1.0,None
5,IFE basal 2,0,0.0,1.0,None
5,IFE granular,0,0.0,1.0,None
5,IFE mitotic,0,0.0,1.0,None
5,IFE spinous 1,0,0.0,1.0,None
5,IFE spinous 2,0,0.0,1.0,None
5,IFE spinous 3,0,0.0,1.0,None
5,IRS H/H,0,0.0,1.0,None
5,IRS/cuticle,0,0.0,1.0,None
5,ORS B,0,0.0,1.0,None
5,ORS CL,0,0.0,1.0,None
5,ORS SB,0,0.0,1.0,None
5,bulge,0,0.0,1.0,None
5,endothelial,0,0.0,1.0,None
5,immune,0,0.0,1.0,None
5,infundibulum,0,0.0,1.0,None
5,isthmus,0,0.0,1.0,None
5,langerhans,0,0.0,1.0,None
5,lower bulge,0,0.0,1.0,None
5,matrix/cortex/medulla,0,0.0,1.0,None
5,melanocytes,8,0.15384615384615385,8.103269143073183e-16,"MITF, PMP22, MLANA, PMEL, GPM6B, DCT, APOD, TYRP1"
5,mesenchymal,1,0.01694915254237288,0.06149116554034821,PMP22
5,sebaceous/apocrine,0,0.0,1.0,None
12,IFE basal 1,0,0.0,1.0,None
12,IFE basal 2,1,0.01694915254237288,0.06149116554034821,S100A9
12,IFE granular,6,0.1111111111111111,2.985986703944949e-11,"SBSN, FABP5, S100A11, LGALS7B, DMKN, KRT6B"
12,IFE mitotic,0,0.0,1.0,None
12,IFE spinous 1,8,0.15384615384615385,8.103269143073183e-16,"KRTDAP, LY6D, S100A9, KRT1, LGALS7B, S100A8, DMKN, KRT10"
12,IFE spinous 2,4,0.07142857142857142,4.2596673367449806e-07,"S100A8, DMKN, S100A11, LGALS7B"
12,IFE spinous 3,11,0.22448979591836735,2.466096737911653e-23,"SBSN, KRTDAP, LY6D, S100A9, KRT1, S100A11, LGALS7B, FABP5, S100A8, DMKN, KRT10"
12,IRS H/H,8,0.15384615384615385,8.103269143073183e-16,"KRTDAP, LY6D, S100A9, KRT1, FABP5, S100A8, DMKN, CST6"
12,IRS/cuticle,1,0.01694915254237288,0.06149116554034821,FABP5
12,ORS B,6,0.11320754716981132,2.3922575003321628e-11,"KRT6B, FABP5, S100A11, LGALS7B, IVL, CST6"
12,ORS CL,3,0.05263157894736842,3.318075750370849e-05,"FABP5, KRT75, S100A11"
12,ORS SB,3,0.05263157894736842,3.318075750370849e-05,"KRT6B, FABP5, LGALS7B"
12,bulge,0,0.0,1.0,None
12,endothelial,0,0.0,1.0,None
12,immune,0,0.0,1.0,None
12,infundibulum,0,0.0,1.0,None
12,isthmus,0,0.0,1.0,None
12,langerhans,0,0.0,1.0,None
12,lower bulge,0,0.0,1.0,None
12,matrix/cortex/medulla,0,0.0,1.0,None
12,melanocytes,0,0.0,1.0,None
12,mesenchymal,0,0.0,1.0,None
12,sebaceous/apocrine,1,0.01694915254237288,0.06149116554034821,MUCL1
2,IFE basal 1,2,0.034482758620689655,0.001806709727152707,"COL17A1, CYR61"
2,IFE basal 2,8,0.15384615384615385,8.103269143073183e-16,"SAA1, KLK5, THBS2, CYP27A1, TPM1, COL17A1, AVPI1, PTN"
2,IFE granular,0,0.0,1.0,None
2,IFE mitotic,0,0.0,1.0,None
2,IFE spinous 1,0,0.0,1.0,None
2,IFE spinous 2,2,0.034482758620689655,0.001806709727152707,"TPM1, PTN"
2,IFE spinous 3,0,0.0,1.0,None
2,IRS H/H,0,0.0,1.0,None
2,IRS/cuticle,0,0.0,1.0,None
2,ORS B,1,0.017241379310344827,0.059501675359893896,TPM1
2,ORS CL,0,0.0,1.0,None
2,ORS SB,0,0.0,1.0,None
2,bulge,1,0.01694915254237288,0.06149116554034821,COL17A1
2,endothelial,0,0.0,1.0,None
2,immune,0,0.0,1.0,None
2,infundibulum,1,0.01694915254237288,0.06149116554034821,CYR61
2,isthmus,4,0.07142857142857142,4.2596673367449806e-07,"COL17A1, TPM1, AVPI1, CYR61"
2,langerhans,0,0.0,1.0,None
2,lower bulge,1,0.01694915254237288,0.06149116554034821,THBS2
2,matrix/cortex/medulla,0,0.0,1.0,None
2,melanocytes,0,0.0,1.0,None
2,mesenchymal,2,0.034482758620689655,0.001806709727152707,"CTGF, CYR61"
2,sebaceous/apocrine,0,0.0,1.0,None
18,IFE basal 1,0,0.0,1.0,None
18,IFE basal 2,0,0.0,1.0,None
18,IFE granular,0,0.0,1.0,None
18,IFE mitotic,0,0.0,1.0,None
18,IFE spinous 1,0,0.0,1.0,None
18,IFE spinous 2,0,0.0,1.0,None
18,IFE spinous 3,0,0.0,1.0,None
